id,table,bucket,title,department,sector,sector_embedding,expected_sector
1924345,jobs,clear_finance,Analyst Real Estate Investment Banking / SCS,Finance,Finance,Finance,Finance
481081,jobs,clear_finance,CIB – Investment Banking – Infrastructure Finance and Advisory (EMEA - Emerging Markets) – London - VP,Finance,Finance,Finance,Finance
1518240,jobs,clear_finance,Financial Analyst,Finance,Finance,Finance,Finance
1269136,jobs,clear_finance,Financial Analyst - Senior,Finance,Finance,Finance,Finance
56036,jobs_IR,clear_finance,Financial Analyst II - Business Partnering,Finance,Finance,Finance,Finance
1221400,jobs,clear_finance,"Financial Analyst, Amazon Freight EU",Finance,Finance,Finance,Finance
1516190,jobs,clear_finance,"Global Banking & Markets, Investment Banking, Classic, Consumer Retail, London, Associate",Finance,Finance,Finance,Finance
1582109,jobs,clear_finance,Global Investment Banking - EMEA A&A Lead –  Executive Director,Finance,Finance,Finance,Finance
1321815,jobs,clear_finance,Investment Banking - EMEA Business Services - Analyst / Associate - London,Finance,Finance,Finance,Finance
480980,jobs,clear_finance,Investment Banking - EMEA Consumer & Retail - Associate - London,Finance,Finance,Finance,Finance
481363,jobs,clear_finance,Investment Banking - EMEA Diversified Industries (Mid-Market Aerospace & Defence) - Vice President,Finance,Finance,Engineering (Software),Finance
481420,jobs,clear_finance,Investment Banking - EMEA FIG - Insurance - Senior Associate / Vice President - London,Finance,Finance,Finance,Finance
1631671,jobs,clear_finance,Investment Banking - EMEA Real Estate - Analyst / Associate - London,Finance,Finance,Finance,Finance
481476,jobs,clear_finance,Investment Banking - EMEA Technology - Vice President - London,Engineering (Software),Engineering (Software),Engineering (Software),Finance
1876240,jobs,clear_finance,Investment Banking - Executive Director - EMEA Mergers & Acquisitions - London,Finance,Finance,Finance,Finance
481345,jobs,clear_finance,Investment Banking - Media & Communications - Vice President - London,Finance,Finance,Finance,Finance
481192,jobs,clear_finance,Investment Banking – UK&I Diversified Industries – Associate – London,Finance,Finance,Finance,Finance
1869308,jobs,clear_finance,"Investment Banking Director, Real Estate, Hospitality and Gaming",Finance,Finance,Finance,Finance
1269019,jobs,clear_finance,"Investment Banking Senior Analyst, M&A",Finance,Finance,Finance,Finance
1724484,jobs,clear_finance,"Investment Banking Technology, Senior Analyst",Engineering (Software),Engineering (Software),Engineering (Software),Engineering (Software)
1516102,jobs,clear_finance,"Legal, Global Banking & Markets  - Investment Banking Lawyer, Executive Director, London",Legal,Legal,Legal,Legal
1669389,jobs,clear_finance,"Senior Financial Analyst , UK Customer Fulfilment Finance",Finance,Finance,Finance,Finance
1517107,jobs,clear_finance,Senior Financial Analyst (Costing and SLR),Finance,Finance,Finance,Finance
1669358,jobs,clear_finance,"Senior Financial Analyst, Amazon Freight EU",Finance,Finance,Finance,Finance
