Company Name,URL,ATS Provider,ATS Board Token,Careers URL,Status
CSC,https://cscglobal.com,unknown,,,needs_manual_review
Datadog,https://www.datadoghq.com,unknown,,https://www.datadoghq.com/product/data-observability/jobs-monitoring/,needs_manual_review
Toast,https://pos.toasttab.com,unknown,,,needs_manual_review
Geneva Trading,https://www.genevatrading.com,greenhouse,embed,https://www.genevatrading.com,Good
New Relic,https://newrelic.com,unknown,,https://newrelic.com/about/culture,needs_manual_review
Notion,https://www.notion.so,ashby,notion,https://www.notion.so/careers,Good
InterSystems,https://www.intersystems.com,unknown,,https://www.intersystems.com/data-technology-company/careers/,needs_manual_review
Pluralsight,https://www.pluralsight.com,unknown,,https://www.pluralsight.com/careers,needs_manual_review
CarGurus,https://www.cargurus.com,unknown,,,needs_manual_review
Optum,https://www.optum.com,unknown,,https://www.optum.com/en/careers.html,needs_manual_review
Citadel Securities,https://www.citadelsecurities.com,unknown,,,needs_manual_review
Whatnot,https://www.whatnot.com,unknown,,https://careers.whatnot.com/,needs_manual_review
Citadel,https://www.citadel.com,unknown,,,needs_manual_review
Udemy,https://www.udemy.com,unknown,,,needs_manual_review
Monte Carlo,https://www.montecarlodata.com,ashby,montecarlodata,https://montecarlo.ai/careers-at-monte-carlo/,Good
Sprout Social,https://sproutsocial.com,unknown,,https://sproutsocial.com/careers/,needs_manual_review
Clearwater Analytics,https://www.clearwater-analytics.com,unknown,,https://www.clearwater-analytics.com/company/careers/,needs_manual_review
Block,https://block.xyz,unknown,,https://block.xyz/careers/jobs,needs_manual_review
Identity Digital,https://identity.digital,unknown,,https://identity.digital/careers,needs_manual_review
Skillsoft,https://www.skillsoft.com,unknown,,,needs_manual_review
Hudson River Trading,https://www.hudsonrivertrading.com,unknown,,https://www.hudsonrivertrading.com/careers,needs_manual_review
DraftKings,https://www.draftkings.com,unknown,,,needs_manual_review
Smartling,https://www.smartling.com,greenhouse,embed,https://www.smartling.com/careers/,Good
Rapid7,https://www.rapid7.com,unknown,,https://careers.rapid7.com/,needs_manual_review
Expedia Group,https://www.expediagroup.com,unknown,,,needs_manual_review
Dropbox,https://www.dropbox.com,unknown,,https://jobs.dropbox.com/,needs_manual_review
Applied Systems,https://www.appliedsystems.com,unknown,,,needs_manual_review
Zynga,https://www.zynga.com,unknown,,,needs_manual_review
Dynatrace,https://www.dynatrace.com,unknown,,,needs_manual_review
Sysco LABS,https://www.syscolabs.com,unknown,,https://www.syscolabs.com/careers,needs_manual_review
AerCap,https://www.aercap.com,unknown,,https://www.aercap.com/careers/career-opportunities,needs_manual_review
Cairn Homes,https://www.cairnhomes.com,unknown,,,needs_manual_review
Corlytics,https://www.corlytics.com,unknown,,,needs_manual_review
Davy Group,https://www.davy.ie,unknown,,https://www.davy.ie/wealth-management/investing/investing-options,needs_manual_review
Dalata Hotel Group,https://www.dalatahotelgroup.com,unknown,,https://dalatahotelgroup.com/careers/,needs_manual_review
Energia Group,https://www.energiagroup.com,unknown,,,needs_manual_review
Experian Ireland,https://www.experian.ie,unknown,,,needs_manual_review
Fineos,https://www.fineos.com,successfactors,rmkcdn,https://www.fineos.com/company/careers/,Good
Flutter Entertainment,https://www.flutter.com,unknown,,https://www.flutter.com/careers/,needs_manual_review
Greencoat Renewables,https://www.greencoat-renewables.com,unknown,,,needs_manual_review
Havok,https://www.havok.com,unknown,,,needs_manual_review
Keywords Studios,https://www.keywordsstudios.com,unknown,,https://www.keywordsstudios.com/en/careers/browse-careers/,needs_manual_review
Learnosity,https://www.learnosity.com,workable,learnosity,https://learnosity.com/company/careers/,Good
Openet,https://www.openet.com,unknown,,,needs_manual_review
Paddy Power,https://www.paddypower.com,unknown,,,needs_manual_review
Phorest,https://www.phorest.com,unknown,,https://careers.phorest.com/,needs_manual_review
StatCounter,https://statcounter.com,unknown,,https://statcounter.com/careers/,needs_manual_review
Storyful,https://storyful.com,workday,dowjones/Storyful_Careers,https://storyful.com,Good
Taoglas,https://www.taoglas.com,unknown,,https://www.taoglas.com/careers-at-taoglas/,needs_manual_review
Three Ireland,https://www.three.ie,unknown,,,needs_manual_review
Vodafone Ireland,https://www.vodafone.ie,unknown,,https://www.vodafone.ie/about-us/careers,needs_manual_review
S3 Group,https://www.s3group.com,unknown,,,needs_manual_review
RugbyPass,https://www.rugbypass.com,unknown,,,needs_manual_review
Pulseway,https://www.pulseway.com,unknown,,,needs_manual_review
CRH,https://www.crh.com,unknown,,https://www.crh.com/careers,needs_manual_review
Kingspan Group,https://www.kingspan.com,unknown,,,needs_manual_review
Smurfit Kappa,https://www.smurfitkappa.com,unknown,,https://www.smurfitkappa.com/people/careers,needs_manual_review
Glanbia,https://www.glanbia.com,unknown,,,needs_manual_review
C&C Group,https://www.candcgroup.com,unknown,,,needs_manual_review
Greencore,https://www.greencore.com,unknown,,https://www.greencore.com/careers/,needs_manual_review
Perrigo,https://www.perrigo.com,successfactors,performancemanager4,https://careers.perrigo.com/,Good
Medtronic,https://www.medtronic.com,workday,medtronic/MedtronicCareers,https://www.medtronic.com/in-en/our-company/careers.html,Good
TE Connectivity,https://www.te.com,successfactors,performancemanager8,https://careers.te.com/,Good
Johnson Controls,https://www.johnsoncontrols.com,workday,jci/JCI,https://jobs.johnsoncontrols.com/,Good
DCC plc,https://www.dcc.ie,unknown,,,needs_manual_review
Allied Irish Banks,https://aib.ie,unknown,,https://aib.ie/careers,needs_manual_review
Bank of Ireland,https://www.bankofireland.com,unknown,,https://careers.bankofireland.com/home?utm_source=BOI&utm_medium=Footer&utm_campaign=Careers,needs_manual_review
EBS,https://www.ebs.ie,unknown,,,needs_manual_review
Permanent TSB,https://www.permanenttsb.ie,unknown,,,needs_manual_review
FBD Holdings,https://www.fbd.ie,unknown,,,needs_manual_review
Vhi Healthcare,https://www.vhi.ie,unknown,,https://www1.vhi.ie/about/careers,needs_manual_review
Laya Healthcare,https://www.layahealthcare.ie,unknown,,https://www.layahealthcare.ie/workingforlayahealthcare/,needs_manual_review
Ryanair,https://careers.ryanair.com,unknown,,https://careers.ryanair.com/jobs/,needs_manual_review
