Company ID,Company Name,ATS Provider,ATS Board Token,URL,Verification,Status,Notes
900001,Intercom,greenhouse,intercom,https://www.intercom.com,web-verified,Good,Dublin-founded/HQ unicorn
900002,Tines,greenhouse,tines,https://www.tines.com,web-verified,Good,Dublin-founded unicorn (security automation)
900003,Flipdish,greenhouse,flipdish,https://www.flipdish.com,web-verified,Good,Dublin-founded (restaurant tech)
900004,LetsGetChecked,greenhouse,letsgetchecked,https://www.letsgetchecked.com,web-verified,Good,Dublin-founded unicorn; board is on job-boards.eu.greenhouse.io
900005,Wayflyer,ashby,wayflyer,https://www.wayflyer.com,web-verified,Good,Dublin-founded unicorn (revenue financing)
900006,Fenergo,workable,fenergocareers,https://www.fenergo.com,web-verified,Good,Dublin-founded RegTech unicorn
900007,TransferMate,workable,transfermate,https://www.transfermate.com,dryrun-0-jobs,needs_manual_review,Kilkenny/Dublin-founded fintech; live fetch returned 0 jobs - token likely stale/renamed
900008,Kitman Labs,lever,kitmanlabs,https://www.kitmanlabs.com,web-verified,Good,Dublin-founded sports tech
900009,Web Summit,lever,websummit,https://websummit.com,web-verified,Good,Dublin-founded events company
900010,StoryToys,workable,storytoys,https://www.storytoys.com,web-verified,Good,Dublin-founded kids app studio
900011,Compass Education,workable,compass-education,https://www.compass.education,web-verified,Good,Dublin-founded edtech
900012,Version 1,smartrecruiters,Version1,https://www.version1.com,web-verified,Good,Dublin-founded IT services (large employer)
900013,Kepak Group,workable,kepak/kepak-convenience-foods,https://www.kepak.com,dryrun-0-jobs,needs_manual_review,Cork-founded food group; live fetch returned 0 jobs - token/sub-brand path likely stale (reverted: an unverified token appeared here from outside this session and was not trusted)
900014,Workhuman,workday,workhuman/WorkhumanCareers,https://www.workhuman.com,web-verified,Good,Dublin-founded HR tech unicorn; Workday token = tenant/board
900015,Omni,ashby,omni,https://omni.co,web-verified,Good,Active Dublin hiring on Ashby
900016,Axelera AI,ashby,axelera,https://axelera.ai,web-verified,Good,Active Dublin hiring on Ashby
900017,2K Games,greenhouse,2k,https://www.2k.com,web-verified,Good,Dublin publishing/graduate hub
900018,Twilio,greenhouse,twilio,https://www.twilio.com,web-verified,Good,Large Dublin office (Segment sales, support, eng)
900019,Match Group,lever,matchgroup,https://mtch.com,web-verified,Good,Dublin office (Tinder etc.)
900020,Dun & Bradstreet,lever,dnb,https://www.dnb.com,web-verified,Good,Dublin office
900021,CFGI,lever,cfgi,https://www.cfgi.com,web-verified,Good,Dublin office listed on Lever board
900022,Front,ashby,frontcareers,https://front.com,web-verified,Good,Dublin office
900023,Deliveroo,ashby,deliveroo,https://deliveroo.ie,web-verified,Good,Ireland-specific roles (commercial/field sales)
900024,AECOM,smartrecruiters,AECOM2,https://www.aecom.com,web-verified,Good,Dublin/Cork engineering roles
